"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"ATCODE";"ATOMS";"ATOMSE";"ATKIND";"HGROEPCODE";"RZVClaim";"SourceCode"
"0801";"0";0;"";C07BB;SELECTIEVE BETA-BLOKKERS MET THIAZIDEN;BETA BLOCKING AGENTS, SELECTIVE, AND THIAZIDES;"";C07B;0;
"0801";"0";0;"";C07BB02;METOPROLOL MET THIAZIDEN;METOPROLOL AND THIAZIDES;"";C07BB;0;
"0801";"0";0;"";C07BB03;ATENOLOL MET THIAZIDEN;ATENOLOL AND THIAZIDES;"";C07BB;0;
"0801";"0";0;"";C07BB04;ACEBUTOLOL MET THIAZIDEN;ACEBUTOLOL AND THIAZIDES;"";C07BB;0;
"0801";"0";0;"";C07BB06;BEVANTOLOL MET THIAZIDEN;BEVANTOLOL AND THIAZIDES;"";C07BB;0;
"0801";"0";0;"";C07BB07;BISOPROLOL MET THIAZIDEN;BISOPROLOL AND THIAZIDES;"";C07BB;0;
"0801";"0";0;"";C07BB12;NEBIVOLOL MET THIAZIDEN;NEBIVOLOL AND THIAZIDES;"";C07BB;0;
"0801";"0";0;"";C07BB52;METOPROLOL MET THIAZIDEN, COMBINATIEPREPARATEN;METOPROLOL AND THIAZIDES, COMBINATIONS;"";C07BB;0;
"0801";"0";0;"";C07BG;ALFA- EN BETA-BLOKKERS MET THIAZIDEN;ALPHA AND BETA BLOCKING AGENTS AND THIAZIDES;"";C07B;0;
"0801";"0";0;"";C07BG01;LABETALOL MET THIAZIDEN;LABETALOL AND THIAZIDES;"";C07BG;0;
"0801";"0";0;"";C07C;BETA-BLOKKERS MET OVERIGE DIURETICA;BETA BLOCKING AGENTS AND OTHER DIURETICS;"";C07;0;
"0801";"0";0;"";C07CA;NIET-SELECTIEVE BETA-BLOKKERS MET OVERIGE DIURETICA;BETA BLOCKING AGENTS, NON-SELECTIVE, AND OTHER DIURETICS;"";C07C;0;
"0801";"0";0;"";C07CA02;OXPRENOLOL MET OVERIGE DIURETICA;OXPRENOLOL AND OTHER DIURETICS;"";C07CA;0;
"0801";"0";0;"";C07CA03;PINDOLOL MET OVERIGE DIURETICA;PINDOLOL AND OTHER DIURETICS;"";C07CA;0;
"0801";"0";0;"";C07CA17;BOPINDOLOL MET OVERIGE DIURETICA;BOPINDOLOL AND OTHER DIURETICS;"";C07CA;0;
"0801";"0";0;"";C07CA23;PENBUTOLOL MET OVERIGE DIURETICA;PENBUTOLOL AND OTHER DIURETICS;"";C07CA;0;
"0801";"0";0;"";C07CB;SELECTIEVE BETA-BLOKKERS MET OVERIGE DIURETICA;BETA BLOCKING AGENTS, SELECTIVE, AND OTHER DIURETICS;"";C07C;0;
"0801";"0";0;"";C07CB02;METOPROLOL MET OVERIGE DIURETICA;METOPROLOL AND OTHER DIURETICS;"";C07CB;0;
"0801";"0";0;"";C07CB03;ATENOLOL MET OVERIGE DIURETICA;ATENOLOL AND OTHER DIURETICS;"";C07CB;0;
"0801";"0";0;"";C07CB53;ATENOLOL MET OVERIGE DIURETICA, COMBINATIEPREPARATEN;ATENOLOL AND OTHER DIURETICS, COMBINATIONS;"";C07CB;0;
"0801";"0";0;"";C07CG;ALFA- EN BETA-BLOKKERS MET OVERIGE DIURETICA;ALPHA AND BETA BLOCKING AGENTS AND OTHER DIURETICS;"";C07C;0;
"0801";"0";0;"";C07CG01;LABETALOL MET OVERIGE DIURETICA;LABETALOL AND OTHER DIURETICS;"";C07CG;0;
"0801";"0";0;"";C07D;BETA-BLOKKERS MET THIAZIDEN EN OVERIGE DIURETICA;BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS;"";C07;0;
"0801";"0";0;"";C07DA;NIET-SEL. BETA-BLOKKERS MET THIAZIDEN EN OVERIGE DIURETICA;BETA BLOCKING AGENTS, NON-SELECTIVE, THIAZIDES AND OTHER DIURETICS;"";C07D;0;
"0801";"0";0;"";C07DA06;TIMOLOL MET THIAZIDEN EN OVERIGE DIURETICA;TIMOLOL, THIAZIDES AND OTHER DIURETICS;"";C07DA;0;
"0801";"0";0;"";C07DB;SELECT. BETA-BLOKKERS MET THIAZIDEN EN OVERIGE DIURETICA;BETA BLOCKING AGENTS, SELECTIVE, THIAZIDES AND OTHER DIURETICS;"";C07D;0;
"0801";"0";0;"";C07DB01;ATENOLOL MET THIAZIDEN EN OVERIGE DIURETICA;ATENOLOL, THIAZIDES AND OTHER DIURETICS;"";C07DB;0;
"0801";"0";0;"";C07E;BETA-BLOKKERS MET VASODILATANTIA;BETA BLOCKING AGENTS AND VASODILATORS;"";C07;0;
"0801";"0";0;"";C07EA;NIET-SELECTIEVE BETA-BLOKKERS MET VASODILATANTIA;BETA BLOCKING AGENTS, NON-SELECTIVE, AND VASODILATORS;"";C07E;0;
"0801";"0";0;"";C07EB;SELECTIEVE BETA-BLOKKERS MET VASODILATANTIA;BETA BLOCKING AGENTS, SELECTIVE, AND VASODILATORS;"";C07E;0;
"0801";"0";0;"";C07F;BETA-BLOKKERS, OVERIGE COMBINATIEPREPARATEN;BETA BLOCKING AGENTS, OTHER COMBINATIONS;"";C07;0;
"0801";"1";1;"";C07FA;NIET-SELECTIEVE BETA-BLOKKERS MET OVERIGE ANTIHYPERTENSIVA;BETA BLOCK. NON-SEL AND OTHER ANTIHYPERTENSIVES;"";C07F;0;
"0801";"1";1;"";C07FA05;PROPRANOLOL MET OVERIGE ANTIHYPERTENSIVA;PROPRANOLOL AND OTHER ANTIHYPERTENSIVES;"";C07FA;0;
"0801";"0";0;"";C07FB;BETA-BLOKKERS MET CALCIUMANTAGONISTEN;BETA BLOCKING AGENTS AND CALCIUM CHANNEL BLOCKERS;"";C07F;0;
"0801";"0";0;"";C07FB02;METOPROLOL MET FELODIPINE;METOPROLOL AND FELODIPINE;"";C07FB;0;
"0801";"0";0;"";C07FB03;ATENOLOL MET NIFEDIPINE;ATENOLOL AND NIFEDIPINE;"";C07FB;0;
"0801";"0";0;"";C07FB07;BISOPROLOL MET AMLODIPINE;BISOPROLOL AND AMLODIPINE;"";C07FB;0;
"0801";"0";0;"";G04BX16;TIOPRONINE;TIOPRONIN;"";G04BX;0;
"0801";"0";0;"";H05BX04;ETELCALCETIDE;ETELCALCETIDE;"";H05BX;0;
"0801";"0";0;"";C07FB12;NEBIVOLOL MET AMLODIPINE;NEBIVOLOL AND AMLODIPINE;"";C07FB;0;
"0801";"0";0;"";C08;CALCIUMANTAGONISTEN;CALCIUM CHANNEL BLOCKERS;"";C;0;
"0801";"0";0;"";C08C;SELECTIEVE CALCIUMANTAGONISTEN MET VNL VASCULAIRE WERKING;SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS;"";C08;0;
"0801";"0";0;"";C08CA;DIHYDROPYRIDINEDERIVATEN;DIHYDROPYRIDINE DERIVATIVES;"";C08C;0;
"0801";"0";0;"";C08CA01;AMLODIPINE;AMLODIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA02;FELODIPINE;FELODIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA03;ISRADIPINE;ISRADIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA04;NICARDIPINE;NICARDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA05;NIFEDIPINE;NIFEDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA06;NIMODIPINE;NIMODIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA07;NISOLDIPINE;NISOLDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA08;NITRENDIPINE;NITRENDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA09;LACIDIPINE;LACIDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA10;NILVADIPINE;NILVADIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA11;MANIDIPINE;MANIDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA12;BARNIDIPINE;BARNIDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA13;LERCANIDIPINE;LERCANIDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA14;CILNIDIPINE;CILNIDIPINE;"";C08CA;0;
"0801";"0";0;"";J02AC06;OTESECONAZOL;OTESECONAZOLE;"";J02AC;0;
"0801";"0";0;"";J05AB16;REMDESIVIR;REMDESIVIR;"";J05AB;0;
"0801";"0";0;"";C08CA15;BENIDIPINE;BENIDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA16;CLEVIDIPINE;CLEVIDIPINE;"";C08CA;0;
"0801";"0";0;"";C08CA55;NIFEDIPINE, COMBINATIEPREPRATEN;NIFEDIPINE, COMBINATIONS;"";C08CA;0;
"0801";"0";0;"";C08CX;OVERIGE SEL CALCIUMANTAGONISTEN MET VNL VASCULAIRE WERKING;OTHER SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS;"";C08C;0;
"0801";"0";0;"";C08CX01;MIBEFRADIL;MIBEFRADIL;"";C08CX;0;
"0801";"0";0;"";C08D;SELECTIEVE CALCIUMANTAGONISTEN MET DIRECTE HART-EFFECTEN;SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS;"";C08;0;
"0801";"0";0;"";C08DA;FENYLALKYLAMINEDERIVATEN;PHENYLALKYLAMINE DERIVATIVES;"";C08D;0;
"0801";"0";0;"";C08DA01;VERAPAMIL;VERAPAMIL;"";C08DA;0;
"0801";"0";0;"";C08DA02;GALLOPAMIL;GALLOPAMIL;"";C08DA;0;
"0801";"0";0;"";C08DA51;VERAPAMIL, COMBINATIEPREPRATEN;VERAPAMIL, COMBINATIONS;"";C08DA;0;
"0801";"0";0;"";C08DB;BENZOTHIAZEPINEDERIVATEN;BENZOTHIAZEPINE DERIVATIVES;"";C08D;0;
"0801";"0";0;"";C08DB01;DILTIAZEM;DILTIAZEM;"";C08DB;0;
"0801";"0";0;"";C08E;NIET-SELECTIEVE CALCIUMANTAGONISTEN;NON-SELECTIVE CALCIUM CHANNEL BLOCKERS;"";C08;0;
"0801";"0";0;"";C08EA;FENYLALKYLAMINEDERIVATEN;PHENYLALKYLAMINE DERIVATIVES;"";C08E;0;
"0801";"0";0;"";C08EA01;FENDILINE;FENDILINE;"";C08EA;0;
"0801";"0";0;"";C08EA02;BEPRIDIL;BEPRIDIL;"";C08EA;0;
"0801";"0";0;"";C08EX;OVERIGE NIET-SELECTIEVE CALCIUMANTAGONISTEN;OTHER NON-SELECTIVE CALCIUM CHANNEL BLOCKERS;"";C08E;0;
"0801";"0";0;"";C08EX01;LIDOFLAZINE;LIDOFLAZINE;"";C08EX;0;
"0801";"0";0;"";C08EX02;PERHEXILINE;PERHEXILINE;"";C08EX;0;
"0801";"0";0;"";C08G;CALCIUMANTAGONISTEN MET DIURETICA;CALCIUM CHANNEL BLOCKERS AND DIURETICS;"";C08;0;
"0801";"0";0;"";C08GA;CALCIUMANTAGONISTEN MET DIURETICA;CALCIUM CHANNEL BLOCKERS AND DIURETICS;"";C08G;0;
"0801";"0";0;"";C08GA01;NIFEDIPINE MET DIURETICA;NIFEDIPINE AND DIURETICS;"";C08GA;0;
"0801";"0";0;"";C08GA02;AMLODIPINE MET DIURETICA;AMLODIPINE AND DIURETICS;"";C08GA;0;
"0801";"0";0;"";C09;MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM;AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;"";C;0;
"0801";"0";0;"";C09A;ACE-REMMERS;ACE INHIBITORS, PLAIN;"";C09;0;
"0801";"0";0;"";C09AA;ACE-REMMERS;ACE INHIBITORS, PLAIN;"";C09A;0;
"0801";"0";0;"";C09AA01;CAPTOPRIL;CAPTOPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA02;ENALAPRIL/ENALAPRILAAT;ENALAPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA03;LISINOPRIL;LISINOPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA04;PERINDOPRIL;PERINDOPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA05;RAMIPRIL;RAMIPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA06;QUINAPRIL/QUINAPRILAAT;QUINAPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA07;BENAZEPRIL;BENAZEPRIL;"";C09AA;0;
"0801";"0";0;"";J01FA16;SOLITROMYCINE;SOLITHROMYCIN;"";J01FA;0;
"0801";"0";0;"";C09AA08;CILAZAPRIL;CILAZAPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA09;FOSINOPRIL;FOSINOPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA10;TRANDOLAPRIL;TRANDOLAPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA11;SPIRAPRIL;SPIRAPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA12;DELAPRIL;DELAPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA13;MOEXIPRIL;MOEXIPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA14;TEMOCAPRIL;TEMOCAPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA15;ZOFENOPRIL;ZOFENOPRIL;"";C09AA;0;
"0801";"0";0;"";C09AA16;IMIDAPRIL;IMIDAPRIL;"";C09AA;0;
"0801";"0";0;"";C09B;ACE-REMMERS, COMBINATIEPREPARATEN;ACE INHIBITORS, COMBINATIONS;"";C09;0;
"0801";"0";0;"";C09BA;ACE-REMMERS MET DIURETICA;ACE INHIBITORS AND DIURETICS;"";C09B;0;
"0801";"0";0;"";C09BA01;CAPTOPRIL MET DIURETICA;CAPTOPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA02;ENALAPRIL MET DIURETICA;ENALAPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA03;LISINOPRIL MET DIURETICA;LISINOPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA04;PERINDOPRIL MET DIURETICA;PERINDOPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA05;RAMIPRIL MET DIURETICA;RAMIPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA06;QUINAPRIL MET DIURETICA;QUINAPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA07;BENAZEPRIL MET DIURETICA;BENAZEPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA08;CILAZAPRIL MET DIURETICA;CILAZAPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA09;FOSINOPRIL MET DIURETICA;FOSINOPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA12;DELAPRIL MET DIURETICA;DELAPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA13;MOEXIPRIL MET DIURETICA;MOEXIPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BA15;ZOFENOPRIL MET DIURETICA;ZOFENOPRIL AND DIURETICS;"";C09BA;0;
"0801";"0";0;"";C09BB;ACE-REMMERS MET CALCIUMANTAGONISTEN;ACE INHIBITORS AND CALCIUM CHANNEL BLOCKERS;"";C09B;0;
"0801";"0";0;"";C09BB02;ENALAPRIL MET LERCANIDIPINE;ENALAPRIL AND LERCANIDIPINE;"";C09BB;0;
"0801";"0";0;"";C09BB03;LISINOPRIL MET AMLODIPINE;LISINOPRIL AND AMLODIPINE;"";C09BB;0;
"0801";"0";0;"";C09BB04;PERINDOPRIL MET AMLODIPINE;PERINDOPRIL AND AMLODIPINE;"";C09BB;0;
"0801";"0";0;"";C09BB05;RAMIPRIL MET FELODIPINE;RAMIPRIL AND FELODIPINE;"";C09BB;0;
"0801";"0";0;"";C09BB06;ENALAPRIL MET NITRENDIPINE;ENALAPRIL AND NITRENDIPINE;"";C09BB;0;
"0801";"0";0;"";C09BB07;RAMIPRIL MET AMLODIPINE;RAMIPRIL AND AMLODIPINE;"";C09BB;0;
"0801";"0";0;"";C09BB10;TRANDOLAPRIL MET VERAPAMIL;TRANDOLAPRIL AND VERAPAMIL;"";C09BB;0;
"0801";"0";0;"";C09BB12;DELAPRIL MET MANIDIPINE;DELAPRIL AND MANIDIPINE;"";C09BB;0;
"0801";"0";0;"";C09BX;ACE-REMMERS, OVERIGE COMBINATIEPREPARATEN;ACE INHIBITORS, OTHER COMBINATIONS;"";C09B;0;
"0801";"0";0;"";C09BX01;PERINDOPRIL MET AMLODIPINE EN INDAPAMIDE;PERINDOPRIL, AMLODIPINE AND INDAPAMIDE;"";C09BX;0;
"0801";"0";0;"";C09BX02;PERINDOPRIL MET BISOPROLOL;PERINDOPRIL AND BISOPROLOL;"";C09BX;0;
"0801";"0";0;"";C09C;ANGIOTENSINE-II-ANTAGONISTEN;ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), PLAIN;"";C09;0;
"0801";"0";0;"";C09CA;ANGIOTENSINE-II-ANTAGONISTEN;ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), PLAIN;"";C09C;0;
"0801";"0";0;"";C09CA01;LOSARTAN;LOSARTAN;"";C09CA;0;
"0801";"0";0;"";C09CA02;EPROSARTAN;EPROSARTAN;"";C09CA;0;
"0801";"0";0;"";C09CA03;VALSARTAN;VALSARTAN;"";C09CA;0;
"0801";"0";0;"";C09CA04;IRBESARTAN;IRBESARTAN;"";C09CA;0;
"0801";"0";0;"";C09CA05;TASOSARTAN;TASOSARTAN;"";C09CA;0;
"0801";"0";0;"";C09CA06;CANDESARTAN;CANDESARTAN;"";C09CA;0;
"0801";"0";0;"";C09CA07;TELMISARTAN;TELMISARTAN;"";C09CA;0;
"0801";"0";0;"";C09CA08;OLMESARTAN;OLMESARTAN MEDOXOMIL;"";C09CA;0;
"0801";"0";0;"";C09CA09;AZILSARTANMEDOXOMIL;AZILSARTAN MEDOXOMIL;"";C09CA;0;
"0801";"0";0;"";C09CA10;FIMASARTAN;FIMASARTAN;"";C09CA;0;
"0801";"0";0;"";C09D;ANGIOTENSINE-II-ANTAGONISTEN, COMBINATIEPREPARATEN;ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), COMBINATIONS;"";C09;0;
"0801";"0";0;"";C09DA;ANGIOTENSINE-II-ANTAGONISTEN MET DIURETICA;ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS) AND DIURETICS;"";C09D;0;
"0801";"0";0;"";C09DA01;LOSARTAN MET DIURETICA;LOSARTAN AND DIURETICS;"";C09DA;0;
"0801";"0";0;"";C09DA02;EPROSARTAN MET DIURETICA;EPROSARTAN AND DIURETICS;"";C09DA;0;
"0801";"0";0;"";C09DA03;VALSARTAN MET DIURETICA;VALSARTAN AND DIURETICS;"";C09DA;0;
"0801";"0";0;"";C09DA04;IRBESARTAN MET DIURETICA;IRBESARTAN AND DIURETICS;"";C09DA;0;
"0801";"0";0;"";C09DA06;CANDESARTAN MET DIURETICA;CANDESARTAN AND DIURETICS;"";C09DA;0;
"0801";"0";0;"";C09DA07;TELMISARTAN MET DIURETICA;TELMISARTAN AND DIURETICS;"";C09DA;0;
"0801";"0";0;"";C09DA08;OLMESARTAN MET DIURETICA;OLMESARTAN MEDOXOMIL AND DIURETICS;"";C09DA;0;
"0801";"0";0;"";C09DA09;AZILSARTAN MEDOXOMIL MET DIURETICA;AZILSARTAN MEDOXOMIL AND DIURETICS;"";C09DA;0;
"0801";"0";0;"";C09DB;ANGIOTENSIN-II-ANTAGONISTEN MET CALCIUMANTAGONISTEN;ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS) AND CALCIUM CHANNEL BLOCKERS;"";C09D;0;
"0801";"0";0;"";C09DB01;VALSARTAN MET AMLODIPINE;VALSARTAN AND AMLODIPINE;"";C09DB;0;
"0801";"0";0;"";C09DB02;OLMESARTAN MET AMLODIPINE;OLMESARTAN MEDOXOMIL AND AMLODIPINE;"";C09DB;0;
"0801";"0";0;"";C09DB04;TELMISARTAN MET AMLODIPINE;TELMISARTAN AND AMLODIPINE;"";C09DB;0;
"0801";"0";0;"";C09DB05;IRBESARTAN MET AMLODIPINE;IRBESARTAN AND AMLODIPINE;"";C09DB;0;
"0801";"0";0;"";C09DB06;LOSARTAN MET AMLODIPINE;LOSARTAN AND AMLODIPINE;"";C09DB;0;
"0801";"0";0;"";C09DB07;CANDESARTAN MET AMLODIPINE;CANDESARTAN AND AMLODIPINE;"";C09DB;0;
"0801";"0";0;"";J05AB17;BRINCIDOFOVIR;BRINCIDOFOVIR;"";J05AB;0;
"0801";"0";0;"";J05AP12;COBLOPASVIR;COBLOPASVIR;"";J05AP;0;
"0801";"0";0;"";C09DB08;VALSARTAN MET LERCANIDIPINE;VALSARTAN AND LERCANIDIPINE;"";C09DB;0;
"0801";"0";0;"";C09DX;ANGIOTENSINE-II-ANTAGONISTEN, OVERIGE COMBINATIEPREPARATEN;ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), OTHER COMBINATIONS;"";C09D;0;
"0801";"0";0;"";C09DX01;VALSARTAN MET AMLODIPINE EN HYDROCHLOORTHIAZIDE;VALSARTAN, AMLODIPINE AND HYDROCHLOROTHIAZIDE;"";C09DX;0;
"0801";"0";0;"";C09DX02;VALSARTAN MET ALISKIREN;VALSARTAN AND ALISKIREN;"";C09DX;0;
"0801";"0";0;"";C09DX03;OLMESARTAN MEDOXOMIL MET AMLODIPINE EN HYDROCHLOORTHIAZIDE;OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE;"";C09DX;0;
"0801";"0";0;"";C09DX04;VALSARTAN MET SACUBITRIL;VALSARTAN AND SACUBITRIL;"";C09DX;0;
"0801";"0";0;"";C09X;OVERIGE MIDDELEN AANGRIJPEND OP RENINE-ANGIOTENSINESYSTEEM;OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;"";C09;0;
"0801";"0";0;"";C09XA;RENINEREMMERS;RENIN-INHIBITORS;"";C09X;0;
"0801";"0";0;"";C09XA01;REMIKIREN;REMIKIREN;"";C09XA;0;
"0801";"0";0;"";C09XA02;ALISKIREN;ALISKIREN;"";C09XA;0;
"0801";"0";0;"";C09XA52;ALISKIREN MET HYDROCHLOORTHIAZIDE;ALISKIREN AND HYDROCHLOROTHIAZIDE;"";C09XA;0;
"0801";"0";0;"";C09XA53;ALISKIREN MET AMLODIPINE;ALISKIREN AND AMLODIPINE;"";C09XA;0;
"0801";"0";0;"";C09XA54;ALISKIREN MET AMLODIPINE EN HYDROCHLOORTHIAZIDE;ALISKIREN, AMLODIPINE AND HYDROCHLOROTHIAZIDE;"";C09XA;0;
"0801";"0";0;"";C10;ANTILIPAEMICA;LIPID MODIFYING AGENTS;"";C;0;
"0801";"0";0;"";C10A;ANTILIPAEMICA, ENKELVOUDIG;LIPID MODIFYING AGENTS, PLAIN;"";C10;0;
"0801";"0";0;"";C10AA;CHOLESTEROLSYNTHESEREMMERS;HMG COA REDUCTASE INHIBITORS;"";C10A;0;
"0801";"0";0;"";C10AA01;SIMVASTATINE;SIMVASTATIN;"";C10AA;0;
"0801";"0";0;"";C10AA02;LOVASTATINE;LOVASTATIN;"";C10AA;0;
"0801";"0";0;"";C10AA03;PRAVASTATINE;PRAVASTATIN;"";C10AA;0;
"0801";"0";0;"";C10AA04;FLUVASTATINE;FLUVASTATIN;"";C10AA;0;
"0801";"0";0;"";C10AA05;ATORVASTATINE;ATORVASTATIN;"";C10AA;0;
"0801";"0";0;"";C10AA06;CERIVASTATINE;CERIVASTATIN;"";C10AA;0;
"0801";"0";0;"";C10AA07;ROSUVASTATINE;ROSUVASTATIN;"";C10AA;0;
"0801";"0";0;"";C10AA08;PITAVASTATINE;PITAVASTATIN;"";C10AA;0;
"0801";"0";0;"";C10AB;FIBRATEN;FIBRATES;"";C10A;0;
"0801";"0";0;"";C10AB01;CLOFIBRAAT;CLOFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AB02;BEZAFIBRAAT;BEZAFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AB03;ALUMINIUMCLOFIBRAAT;ALUMINIUM CLOFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AB04;GEMFIBROZIL;GEMFIBROZIL;"";C10AB;0;
"0801";"0";0;"";C10AB05;FENOFIBRAAT;FENOFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AB06;SIMFIBRAAT;SIMFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AB07;RONIFIBRAAT;RONIFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AB08;CIPROFIBRAAT;CIPROFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AB09;ETOFIBRAAT;ETOFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AB10;CLOFIBRIDE;CLOFIBRIDE;"";C10AB;0;
"0801";"0";0;"";C10AB11;CHOLINEFENOFIBRAAT;CHOLINE FENOFIBRATE;"";C10AB;0;
"0801";"0";0;"";C10AC;GALZUURBINDENDE HARSEN;BILE ACID SEQUESTRANTS;"";C10A;0;
"0801";"0";0;"";C10AC01;COLESTYRAMINE;COLESTYRAMINE;"";C10AC;0;
"0801";"0";0;"";C10AC02;COLESTIPOL;COLESTIPOL;"";C10AC;0;
"0801";"0";0;"";C10AC03;COLEXTRAN;COLEXTRAN;"";C10AC;0;
"0801";"0";0;"";C10AC04;COLESEVELAM;COLESEVELAM;"";C10AC;0;
"0801";"0";0;"";C10AD;NICOTINEZUUR EN -DERIVATEN;NICOTINIC ACID AND DERIVATIVES;"";C10A;0;
"0801";"0";0;"";C10AD01;NICERITROL;NICERITROL;"";C10AD;0;
"0801";"0";0;"";C10AD02;NICOTINEZUUR;NICOTINIC ACID;"";C10AD;0;
"0801";"0";0;"";C10AD03;NICOFURANOSE;NICOFURANOSE;"";C10AD;0;
"0801";"0";0;"";C10AD04;ALUMINIUMNICOTINAAT;ALUMINIUM NICOTINATE;"";C10AD;0;
"0801";"0";0;"";C10AD05;NICOTINYLALCOHOL (HOGE DOSIS);NICOTINYL ALCOHOL (PYRIDYLCARBINOL);"";C10AD;0;
"0801";"0";0;"";C10AD06;ACIPIMOX;ACIPIMOX;"";C10AD;0;
"0801";"0";0;"";C10AD52;NICOTINEZUUR, COMBINATIEPREPARATEN;NICOTINIC ACID, COMBINATIONS;"";C10AD;0;
"0801";"0";0;"";C10AX;OVERIGE ANTILIPAEMICA;OTHER LIPID MODIFYING AGENTS;"";C10A;0;
"0801";"0";0;"";C10AX01;DEXTROTHYROXINE;DEXTROTHYROXINE;"";C10AX;0;
"0801";"0";0;"";C10AX02;PROBUCOL;PROBUCOL;"";C10AX;0;
"0801";"0";0;"";C10AX03;TIADENOL;TIADENOL;"";C10AX;0;
"0801";"0";0;"";C10AX05;MEGLUTOL;MEGLUTOL;"";C10AX;0;
"0801";"0";0;"";C10AX06;OMEGA-3-VETZUURPREPARAAT;OMEGA-3-TRIGLYCERIDES INCL. OTHER ESTERS AND ACIDS;"";C10AX;0;
"0801";"0";0;"";C10AX07;MAGNESIUMPYRIDOXALFOSFAATGLUTAMAAT;MAGNESIUM PYRIDOXAL 5-PHOSPHATE GLUTAMATE;"";C10AX;0;
"0801";"0";0;"";C10AX08;POLICOSANOL;POLICOSANOL;"";C10AX;0;
"0801";"0";0;"";C10AX09;EZETIMIB;EZETIMIBE;"";C10AX;0;
"0801";"0";0;"";C10AX10;ALIPOGEN TIPARVOVEC;ALIPOGENE TIPARVOVEC;"";C10AX;0;
"0801";"0";0;"";C10AX11;MIPOMERSEN;MIPOMERSEN;"";C10AX;0;
"0801";"0";0;"";C10AX12;LOMITAPIDE;LOMITAPIDE;"";C10AX;0;
"0801";"0";0;"";C10AX13;EVOLOCUMAB;EVOLOCUMAB;"";C10AX;0;
