Excipient;Excipient (English);Chemical class;Functional category;Administration route;If po: bioavailability;Conclusion Ketoproof;Reviewer;Review date
DULBECCO'S MODIFIED EAGLE MEDIUM;DULBECCO'S MODIFIED EAGLE MEDIUM;;;;;;;
EDETINEZUUR;EDETIC ACID;;;;;;;
EDOTREOTIDE;EDOTREOTIDE;;;;;;;
ETHANOLAMINE;ETHANOLAMINE;;;;;;;
ETHYLEENVINYLACETAATCOPOLYMEER;ETHYLENE VINYL ACETATE COPOLYMER;;;;;;;
ETHYLOLEAAT;ETHYL OLEATE;;;;;;;
EXAMETAZIM;EXAMETAZIME;;;;;;;
FENANTROLINE, 1,10-;PHENANTHROLINE, 1,10-;;;;;;;
FENOL;Phenol;;;;;;;
FENOLSULFONFTALEINE;PHENOL SULFONPHTHALEIN;;;;;;;
FENOXYETHANOL;FENOXYETHANOL;;;;;;;
FENYLALANINE;PHENYLALANINE;Amino acid ;;;;No;Manon den Uil;08/04/2024
FERRIAMMONIUMCITRAAT;FERRIAMMONIUM CITRATE;Salt, organic acid;;;;No;Manon den Uil;08/04/2024
FORMALDEHYDE;FORMALDEHYDE;;;;;;;
FOSFATIDYLETHANOLAMINE;PHOSPHATIDYLETHANOLAMINE;;;;;;;
FRUCTOSE;FRUCTOSE;Suiker;;;;No;Laura N;30/11/2023
GENTAMICINE SULFAAT;GENTAMICIN SULFATE;API;;;;Yes;Manon den Uil;08/04/2024
GENTISINEZUUR;GENTICIN ACID;;;;;;;
GLUCONOLACTON;GLUCONOLACTONE;;;;;;;
GLUCOSE;GLUCOSE;Suiker;;;;No;Laura N;30/11/2023
GLUCOSE 1-WATER;glucose monohydrate;Suiker;;;;No;Laura N;30/11/2023
GLUTAMAAT KALIUM;GLUTAMATE POTASSIUM;Salt, amino acid;;;;No;Manon den Uil;05/04/2024
GLUTAMAAT NATRIUM-0-WATER;GLUTAMATE SODIUM-0-WATER;Salt, amino acid;;;;No;Manon den Uil;05/04/2024
GLUTAMAAT NATRIUM-1-WATER;GLUTAMATE SODIUM-1-WATER;Salt, amino acid;;;;No;Manon den Uil;05/04/2024
GLUTAMINEZUUR;GLUTAMINE ACID;Amino acid ;;;;No;Manon den Uil;05/04/2024
GLUTARAL;Glutaraldehyde ;;;;;;;
GLUTATHION;GLUTATHION;;;;;;;
GLYCERYLTRIOCTANOAAT;Glyceryl trioctanoate;Fatty acid (ester with glycerin);Emulsifier;;;No;Manon den Uil;27/03/2024
GLYCINE HYDROCHLORIDE;GLYCINE HYDROCHLORIDE;Salt, amino acid;;;;No;Manon den Uil;05/04/2024
GLYCOCHOLAAT NATRIUM;Sodium glycocholate;;;;;;;
GLYCOCHOLZUUR;GLYCOCHOLIC ACID;Organic acid;;;;No;Laura N;30/12/2024
GLYCYLGLYCINE;GLYCYLGLYCINE ;;;;;;;
HAEMOPHILUS INFLUENZAE;HAEMOPHILUS INFLUENZAE (bacteria);API;;;;Yes;Manon den Uil;08/04/2024
HEPARINE NATRIUM;HEPARIN SODIUM;API;;;;Yes;Manon den Uil;08/04/2024
HEPES;HEPES;;;;;;;
HISTIDINE;HISTIDINE;Amino acid ;;;;No;Manon den Uil;05/04/2024
HISTIDINE HYDROCHLORIDE-0-WATER;HISTIDINE HYDROCHLORIDE-0-WATER;Salt, amino acid;;;;No;Manon den Uil;05/04/2024
HISTIDINE HYDROCHLORIDE-1-WATER;HISTIDINE HYDROCHLORIDE-1-WATER;Salt, amino acid;;;;No;Manon den Uil;05/04/2024
HYALURONIDASE;HYALURONIDASE;API;;;;Yes;Manon den Uil;08/04/2024
HYDROCHINON;HYDROCHINON;;;;;;;
IBRITUMOMAB TIUXETAN;IBRITUMOMAB TIUXETAN;API;;;;Yes;Manon den Uil;08/04/2024
INFLUENZAVIRUS A/SINGAPORE/6/86 (H1N1), GESPLITST;INFLUENZA VIRUS A/SINGAPORE/6/86 (H1N1), SPLICED;API;;;;Yes;Manon den Uil;08/04/2024
INOSITOL;INOSITOL;;;;;;;
ISOLEUCINE;ISOLEUCIN;Amino acid ;;;;No;Manon den Uil;05/04/2024
JOBENGUAAN;Iobenguane;;;;;;;
JOLOPRIDE;JOLOPRIDE;;;;;;;
KALIUMCARBONAAT X-WATER;POTASSIUM CARBONATE X-WATER;Salt, inorganic acid;;;;Yes;Manon den Uil/Laura N;27/12/2024
KALIUMCHLORIDE;POTASSIUM CHLORIDE;Metallic salt;API, Tonicity agent;;;Yes;Manon den Uil;05/04/2024
KALIUMNATRIUMTARTRAAT 4-WATER;POTASSIUM SODIUM TARTRATE 4-WATER;;;;;;;
KALIUMTHIOCYANAAT;POTASSIUM THIOCYANATE;;;;;;;
KANAMYCINE SULFAAT-1-WATER;KANAMYCIN SULFATE-1-WATER;;;;;;;
KOOLDIOXIDE;CARBON DIOXIDE;;;;;;;
KOPER(II)GLUCONAAT;COPPER(II)GLUCONATE;;;;;;;
LAURINEZUUR;LAURIC ACID;Fatty acid;;;;Yes;Manon den Uil;08/04/2024
LEUCINE;LEUCINE;Amino acid;;;;Yes;Manon den Uil;02/04/2024
LEVOMENTHOL;LEVOMENTHOL;;;;;;;
LEXIDRONAM 1-WATER;LEXIDRONAM 1-WATER;;;;;;;
LEXIDRONAM CALCIUM-NATRIUMZOUT;LEXIDRONAM CALCIUM SODIUM SALT;;;;;;;
LYSINE;LYSINE;Amino acid;;;;Yes;Manon den Uil;02/04/2024
LYSINE HYDROCHLORIDE;LYSINE HYDROCHLORIDE;Salt, amino acid;;;;Yes;Manon den Uil;05/04/2024
MACROGOLSTEARAAT;MACROGOLSTEARATE;Polyethyleenglycol + fatty acid;"Dissolution enhancer; nonionic surfactant; solubilizing agent; stabilizing agent";;;Yes;Manon den Uil;05/04/2024
MACROSALB;MACROSALB;;;;;;;
MAGNESIUMCHLORIDE;MAGNESIUM CHLORIDE;Metallic salt;Tonicity agent ;;;Yes;Manon den Uil;05/04/2024
MAGNESIUMCHLORIDE (ALS 6-WATER);MAGNESIUM CHLORIDE (AS 6-WATER);Metallic salt;Tonicity agent ;;;Yes;Manon den Uil;05/04/2024
MAGNESIUMCHLORIDE 6-WATER;MAGNESIUM CHLORIDE 6-WATER;Metallic salt;Tonicity agent ;;;Yes;Manon den Uil;05/04/2024
MAGNESIUMSULFAAT (ALS 7-WATER);MAGNESIUM SULFATE (AS 7-WATER);;;;;;;
MAGNESIUMSULFAAT 7-WATER;MAGNESIUM SULFATE 7-WATER;;;;;;;
MALEINEZUUR;MALEIC ACID;Organic acid;;;;No;Manon den Uil;08/04/2024
MALTOSE;MALTOSE;Suiker;;;;No;Laura N;30/11/2023
MALTOSE 1-WATER;MALTOSE hydrate;Suiker;;;;No;Laura N;30/11/2023
MEBROFENINE;MEBROFENIN;API;;;;Yes;Manon den Uil;08/04/2024
MEDIUM 199 VOOR VACCINS;MEDIUM 199 FOR VACCINES;;;;;;;
MEDRONAAT DINATRIUM;MEDRONATE DISODIUM;;;;;;;
MELKZUURGLYCOLZUURCOPOLYMEER;poly(D,L-lactic acid-co-glycolic acid);;;;;;;
MENINGOKOKKENEIWIT;MENINGOCOCCAL PROTEIN;API;;;;Yes;Manon den Uil;05/04/2024
METHIONINE;METHIONINE;Amino acid ;;;;No;Manon den Uil;05/04/2024
METHOXYPOLYETHYLEENGLYCOL;METHOXYPOLYETHYLENE GLYCOL;;;;;;;
METHYLMETHACRYLAAT;METHYL METHACRYLATE;;;;;;;
METHYLMETHACRYLAATMETHYLACRYLAATCOPOLYMEER;METHYL METHACRYLATE METHYL ACRYLATE COPOLYMER;;;;;;;
METHYLMETHACRYLAATSTYREENCOPOLYMEER;METHYL METHACRYLATE STYRENE COPOLYMER;;;;;;;
METHYLPYRROLIDON, N-;METHYLPYRROLIDONE, N-;Organic substance;;Leuproreline sc;;Yes;Laura N;30/12/2024
MIEREZUUR;Formic acid;Organic acid;;;;No;Manon den Uil;05/04/2024
MINIMUM ESSENTIAL MEDIUM EAGLE;MINIMUM ESSENTIAL MEDIUM EAGLE;;;;;;;
MONOTHIOGLYCEROL;MONOTHIOGLYCEROL;;;;;;;
MPEG-2000-DSPE;MPEG-2000-DSPE;;;;;;;
MPEG5000 DPPE;MPEG5000 DPPE;;;;;;;
NANOCOLLOIDE;NANOCOLLOID;;;;;;;
NATRIUMACETAAT;SODIUM ACETATE;Salt, organic acid ;;;;No;Manon den Uil;05/04/2024
NATRIUMACETAAT (ALS 3-WATER);SODIUM ACETATE (AS 3-WATER);Salt, organic acid ;;;;No;Manon den Uil;05/04/2024
NATRIUMBISULFIET;SODIUM BISULFITE;;;;;;;
NATRIUMCALCIUMEDETAAT 0-WATER;SODIUM CALCIUM EDETATE 0-WATER;;;;;;;
NATRIUMCARBONAAT;SODIUM CARBONATE;Salt, inorganic acid;;;;Yes;Manon den Uil/Laura N;27/12/2024
NATRIUMFYTAAT;SODIUM PHYTATE;;;;;;;
NATRIUMGLUCONAAT;SODIUM GLUCONATE;;;;;;;
NATRIUMJODIDE;SODIUM JODIDE;;;;;;;
NATRIUMMOLYBDAAT MO 99;SODIUM MOLYBDATE MO 99;;;;;;;
NATRIUMNITRAAT;SODIUM NITRATE;;;;;;;
NATRIUMPERTECHNETAAT TC 99M;SODIUM PERTECHNETATE TC 99M;;;;;;;
NATRIUMSULFAAT 0-WATER;SODIUM SULFATE 0-WATER;;;;;;;
NATRIUMSULFAAT 10-WATER;SODIUM SULFATE 10-WATER;;;;;;;
NATRIUMSULFIET;SODIUM SULFITE;;;;;;;
NATRIUMSULFIET 0-WATER;SODIUM SULFITE 0-WATER;;;;;;;
NATRIUMTHIOSULFAAT;SODIUM THIOSULFATE;;;;;;;
NATRIUMTHIOSULFAAT 5-WATER;SODIUM THIOSULFATE 5-WATER;;;;;;;
NEOMYCINE SULFAAT;NEOMYCIN SULFATE;API;;;;Yes;Manon den Uil;05/04/2024
NICOTINAMIDE;NICOTINAMIDE;;;;;;;
OCTANOAAT NATRIUM;OCTANOATE SODIUM;;;;;;;
OCTANOINEZUUR;OCTANOINE ACID;;;;;;;
OLEAAT NATRIUM;Sodium oleate;Salt, fatty acid ;;;;Yes;Manon den Uil;05/04/2024
OXIDRONAAT DINATRIUM;OXIDRONATE DISODIUM;;;;;;;
OXYCHINOLINE SULFAATKALIUMSULFAAT;OXYQUINOLINE SULFATE POTASSIUM SULFATE;;;;;;;
PAARDENCOLLAGEEN;HORSE COLLAGEN;;;;;;;
PALMITINEZUUR;PALMITIC ACID;Fatty acid;;;;Yes;Manon den Uil;05/04/2024
PALMITYLOLEYLFOSFATIDYLCHOLINE;PALMITYLOLEYLPHOSPHATIDYLCHOLINE;;;;;;;
PEG-2000-C-DMG;PEG-2000-C-DMG;;;;;;;
PENTETEENZUUR;PENTETENE ACID;;;;;;;
PERFLUTREN;PERFLUTREN;;;;;;;
POLOXAMEER 171;POLOXAMEER 171;;;;;;;
POLOXAMEER 238;POLOXAMEER 238;;;;;;;
POLYGELINE;POLYGELINE;;;;;;;
POLYGLUCOSE SORBITOL CARBOXYMETHYLETHER;POLYGLUCOSE SORBITOL CARBOXYMETHYL ETHER;;;;;;;
POLYMELKZUUR;POLYMALEIC ACID;;;;;;;
POLYMYXINE B SULFAAT;POLYMYXIN B SULFATE;API;;;;Yes;Manon den Uil;05/04/2024
POLYSORBAAT 40;POLYSORBAATE 40;Polyoxyethylene sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;Yes;Manon den Uil ;26/03/2024
POLYSORBAAT SOORT ONBEKEND;POLYSORBATE SPECIES UNKNOWN;Polyoxyethylene sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;Yes;Manon den Uil ;26/03/2024
PROLINE;PROLINE;Amino acid;;;;No;Manon den Uil;05/04/2024
PROPYLEENGLYCOLDICAPRYLOCAPRAAT;Propylene glycol dicaprylate;Alcohol ester with fatty acid;;;;No;Manon den Uil;18/04/2024
PROTAMINE SULFAAT;PROTAMINE SULPHATE;;;;;;;
RIBOFLAVINE;RIBOFLAVIN;Vitamin;Co-enzyme;;;Yes;Manon den Uil;05/04/2024
RICINUS OLIE;RICINUS OIL;Oil;;;;Yes;Manon den Uil;05/04/2024
RICINUSOLIE, GERAFFINEERD;CASTOR OIL, REFINED;Oil;;;;Yes;Manon den Uil;05/04/2024
RUNDERCOLLAGEEN;BOVINE COLLAGEN;;;;;;;
SESAMOLIE;SESAME OIL;Oil;;;;Yes;Manon den Uil;05/04/2024
SOJA-OLIE;SOJA OIL;Oil;;;;Yes;Manon den Uil;05/04/2024
SORBITANPALMITAAT;SORBITAN PALMITATE;Sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;No;Manon den Uil ;27/03/2024
STREPTOMYCINE SULFAAT;STREPTOMYCIN SULFATE;API;;;;Yes;Manon den Uil;05/04/2024
STRONTIUMCHLORIDE 6-WATER;STRONTIUM CHLORIDE 6-WATER;;;;;;;
SUCROSOFAAT;SUCROSOFAAT;;;;;;;
SULFOBUTYLETHERBETACYCLODEXTRINENATRIUM;SULFOBUTYL ETHERBETACYCLODEXTRIN SODIUM;Polysaccharide;;;;No;Manon den Uil;18/04/2024
SULFOSALICYLAAT DINATRIUM;SULFOSALICYLATE DISODIUM;;;;;;;
TERPINEOL;TERPINEOL;;;;;;;
TETANUSTOXOIDE;TETANUS TOXOID;API;;;;Yes;Manon den Uil;05/04/2024
TETROFOSMINE;TETROFOSMIN;;;;;;;
THIOMERSAL;THIOMERSAL;;;;;;;
THREONINE;THREONINE;Amino acid;;;;No;Manon den Uil;05/04/2024
TIN(II)CHLORIDE 2-WATER;TIN(II)CHLORIDE 2-WATER;;;;;;;
TIN(II)FLUORIDE;TIN(II)FLUORIDE;;;;;;;
TIN(II)OXIDE;TIN(II)OXIDE;;;;;;;
TOCOFEROL, DL-ALFA- ACETAAT;TOCOPHEROL, DL-ALPHA-ACETATE;Ester, organic acid;;;;No;Manon den Uil;05/04/2024
TRANEXAMINEZUUR;TRANEXAMIC ACID;API;;;;Yes;Manon den Uil;05/04/2024
TREHALOSE 2-WATER;Trehalose dihydrate;;;;;;;
TREPROSTINIL NATRIUM;TREPROSTINIL SODIUM;;;;;;;
TRIGLYCERIDE, GEHYDROGENEERD;TRIGLYCERIDE, HYDROGENATED;Triglyceriden;;;;Yes;Manon den Uil ;18/04/2024
TRIOLEINE;TRIOLEINE;;;;;;;
TROLAMINE;TROLAMINE;;;;;;;
TROMETAMOL HYDROCHLORIDE;TROMETAMOL HYDROCHLORIDE;;;;;;;
TYROSINE;TYROSINE;Amino acid;;;;No;Manon den Uil;05/04/2024
UREUM;UREA;;;;;;;
VALINE;VALINE;Amino acid;;;;No;Manon den Uil;05/04/2024
VARKENSCOLLAGEEN;PORK COLLAGEN;;;;;;;
VERSETAMIDE;VERSETAMIDE;;;;;;;
VORHYALURONIDASE ALFA;VORHYALURONIDASE ALPHA;;;;;;;
ZINKACETAAT 0-WATER;ZINC ACETATE 0-WATER;Salt, organic acid;"Emollient; emulstino stabilizer; gelling agent; opacifier; stabilizing agent";;;No;Manon den Uil ;18/04/2024
ZINKACETAAT 2-WATER;ZINC ACETATE 2-WATER;Salt, organic acid ;"Emollient; emulstino stabilizer; gelling agent; opacifier; stabilizing agent";;;No;Manon den Uil ;18/04/2024
ZINKCHLORIDE;ZINC CHLORIDE;Salt, metallic;Electrolyte;;;Yes;Manon den Uil ;18/04/2024
ZIRKONIUMDIOXIDE;ZIRCONIUM DIOXIDE;;;;;;;
AARDAPPELZETMEEL;POTATO STARCH;Starch;;;;No;Laura N;16/06/2023
AARDBEIENESSENCE;STRAWBERRY ESSENCE;Unknown;Flavoring agent;;;Yes;Laura N;16/06/2023
ABRIKOZENESSENCE;APRICOT ESSENCE;Unknown;Flavoring agent;;;Yes;Laura N;16/06/2023
ACESULFAAM KALIUM;ACESULFAME POTASSIUM;Ketoproof sweetener;;;;Yes;Laura N;16/06/2023
ACETYLTRIETHYLCITRAAT;ACETYLTRIETHYL CITRATE;Organic acid;;;;No;Laura N;25/07/2023
ALGINAAT NATRIUM;ALGINATE SODIUM;Polysaccharide;Binder, desintegrant, thickener;Oral;Low;Yes;Samir;11/08/2023
ALGINEZUUR;ALGINIC ACID;Polysaccharide;Binder, desintegrant, thickener;Oral;Low;Yes;Samir;11/08/2023
ALLURAROOD;ALLURAROOD;Azo dye;Coloring agent;Oral;;Yes;Samir;11/08/2023
ALTHAEA WORTEL;ALTHAEA ROOT;Mixed;;Oral;Unknown;No;Samir;11/08/2023
ALUMINIUMMAGNESIUMSILICAAT;ALUMINUM MAGNESIUM SILICATE;Inorganic;Adsorbent, stabilizer, suspending agent, disintegrant for tablet and capsule, binder for tablet, thickener;oral;Unknown;Yes;Gulcan;24/08/2023
ALUMINIUMNATRIUMSILICAAT;ALUMINUM SODIUM SILICATE;Inorganic ;Anticaking agent, opacifying agent, slip modifier and an aqueous viscosity increasing agent;oral;Unknown;Yes;Gulcan;24/08/2023
ALUMINIUMOXIDE;ALUMINA;Inorganic ;"Adsorbent; dispersing agent.";Cutaan, oraal;0.018 + 0.038;Yes;Manon den Uil;13/03/2024
AMMONIUMMETHACRYLAATCOPOLYMEREN;AMMONIUM METHACRYLATE COPOLYMERS;Polymethacrylates (polymer);"Fil-forming agent; tablet binder; tablet diluent";Oraal;<0,02%;Yes;Puck;23/01/2024
ANIDRISORB;ANIDRISORB (Sorbitol Sorbitan Solution);Diverse, bevat meerdere hulpstoffen waaronder meerdere suikeralcoholen;;;;No;Manon den Uil;13/03/2024
ANIJS OLIE;ANIJS OIL;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil;13/03/2024
APPELZUUR, DL-;Malic ACID, DL-;Organic acid;;;;No;Laura N;30/11/2023
AZIJNZUURANHYDRIDE;ACETIC ANHYDRIDE;Organic acid;;;;No;Laura N;30/11/2023
BENZOAAT NATRIUM;BENZOATE SODIUM;Organic Acids, Metal Salts;;;;No;Lauren;24/01/2024
BESSENESSENCE;BERRY ESSENCE;Unknown;Flavoring agent;;;Yes;Lauren;24/01/2024
BETADEX;BETADEX;Polysaccharide;"Solubilizing agent; stabilizing agent.";;;No;Lauren;24/01/2024
BRAMENESSENCE;BLACKBERRY ESSENCE;Unknown;Flavoring agent;;;Yes;Lauren;24/01/2024
BRILJANTBLAUW FCF;BRILLANT BLUE FCF;Organic ;Dye;Oraal, dentaal;Low;Yes;Manon den Uil;13/03/2024
BUTANOL, 1-;BUTANOL, 1-;Alcohol ;"Antimicrobial preservative; disinfectant; skin penetrant; solvent";Oraal ;100%;Yes;Manon den Uil;14/03/2024
BUTYLACETYLRICINOLEAAT;BUTYL ACETYLRICINOLEATE;Akyl ester ;Emollient;Oraal ;;Yes;Manon den Uil;14/03/2024
BUTYLMETHACRYLAATCOPOLYMEER;BUTYL METHACRYLATE COPOLYMER;Polymeer ;Glazing agent;Oraal, transdermaal;<0.02%;Yes;Manon den Uil;14/03/2024
BUTYLPARAHYDROXYBENZOAAT;BUTYLPARAHYDROXYBENZOATE / Butylparaben;Paraben;Preservative ;Cutaan, oraal, rectaal;100%;No;Manon den Uil;14/03/2023
CACAO-ESSENCE;COCOA ESSENCE;Unknown ;Flavouring agent;;;Yes;Manon den Uil;14/03/2023
CALCIUMBEHENAAT;CALCIUM BEHENATE;Fatty acid (salt);Unknown;;;Yes;Manon den Uil;14/03/2023
CALCIUMDIWATERSTOFFOSFAAT;CALCIUM DIHYDROGEN PHOSPHATE;Metallic salt;Buffering agent;;;Yes;Manon den Uil;14/03/2023
CALCIUMMONOWATERSTOFFOSFAAT;CALCIUM MONOHYDROGEN PHOSPHATE;Metallic salt;Buffering agent;;;Yes;Manon den Uil;14/03/2023
CALCIUMMONOWATERSTOFFOSFAAT 0-WATER;CALCIUM MONOHYDROGEN PHOSPHATE 0-WATER;Metallic salt;Buffering agent;;;Yes;Manon den Uil;14/03/2023
CALCIUMMONOWATERSTOFFOSFAAT 2-WATER;CALCIUM MONOHYDROGEN PHOSPHATE 2-hydrate;Metallic salt;Buffering agent;;;Yes;Manon den Uil;14/03/2023
CALCIUMSILICAAT;CALCIUM SILICATE;Metallic salt;"Adsorbent; anticaking agent; opacifier; tablet filler.";;;Yes;Manon den Uil;15/03/2023
CALCIUMSTEARAAT;CALCIUM STEARATE;Fatty acid (salt);Tablet and capsule lubricant;;;Yes;Manon den Uil;15/03/2024
CANDELILLA WAS;Candelilla wax;Divers: most abundant straigt-chain paraffin;Coating agent ;Oraal ;;Yes;Manon den Uil;15/03/2024
CARAMEL;CARAMEL;Unknown or Variable compositions;Coloring agent, sweetner ;;;No;Manon den Uil;15/03/2024
CARAMELESSENCE;CARAMEL ESSENCE;Unkown ;Flavouring agent;;;No;Manon den Uil;15/03/2024
CARBOMEER  974P;CARBOMER 974P;Polyacrilic acid ;"Controlled-release agent; emulsifying agent; emulsion stabilizer; stabilizing agent; suspending agent; tablet binder.";Oculair, transdermaal, rectaal, oraal, cutaan, vaginaal;0%;Yes;Manon den Uil;15/03/2024
CARBOMEER, SOORT ONBEKEND;CARBOMER, SPECIES UNKNOWN;Polyacrilic acid ;"Controlled-release agent; emulsifying agent; emulsion stabilizer; stabilizing agent; suspending agent; tablet binder.";Oculair, transdermaal, rectaal, oraal, cutaan;0%;Yes;Manon den Uil;15/03/2024
CARMELLOSE CALCIUM;CARMELLOSE CALCIUM;Carboxymethyl ether;"Emulsifying agent; coating agent; stabilizing agent; suspending agent; tablet and capsule disintegrant; viscosity-increasing agent; water-absorbing agent";Oraal;;Yes;Manon den Uil;15/03/2024
CARNAUBA WAS;CARNAUBA WAX;Divers, see comment;Coating agent ;Oraal, oromucosaal;;Yes;Manon den Uil;15/03/2024
CARRAGEEN;Carrageenan;Polysaccharide;"Emulsifying agent; gel base; stabilizing agent; suspending agent; sustained-release agent; viscosity-increasing agent";Oraal;Low;Yes;Manon den Uil;15/03/2024
CARRAGEEN EXTRACT;CARRAGEENAN EXTRACT;Polysaccharide;"Emulsifying agent; gel base; stabilizing agent; suspending agent; sustained-release agent; viscosity-increasing agent";Oraal;Low;Yes;Manon den Uil;15/03/2024
CELLULOSEACETAAT;CELLULOSE ACETATE;;;;;Yes;Laura N;30/11/2023
CELLULOSEACETAATFTALAAT;CELLULOSE ACETATE PHTHALATE;;;;;Yes;Laura N;30/11/2023
CETOMACROGOL WAS;CETOMACROGOL WAX;Mix cetostearylalcohol and cetomacrogol 1000;Emulsifier ;Dermaal, rectaal, vaginaal;;Yes;Manon den Uil;15/03/2024
CETOSTEARYLALCOHOL;CETOSTEARYL ALCOHOL;Fatty alcohol;"Emollient; emulsifying agent; viscosity-increasing agent.";;;Yes;Manon den Uil;15/03/2024
CETOSTEARYLALCOHOL B, EMULGEREND LANETTEWAS SX;CETOSTEARYL ALCOHOL B, EMULSIFYING LANET WAX SX;Fatty alcohol, natriumlaurylsulfaat and others;Emulsifier ;;;Yes;Manon den Uil;15/03/2024
CETYLALCOHOL;CETYLALCOHOL;Fatty alcohol;Emulsifier ;;;Yes;Manon den Uil;15/03/2024
CITROEN OLIE;LEMON OIL;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil;15/03/2024
CITROEN SPIRITUS;LEMON SPIRIT;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil;15/03/2024
CITROENESSENCE;LEMON ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil;15/03/2024
COCHENILLEROOD A;COCHINEAL;Anthraquinone dye;Colouring agent ;Oraal, oromucosaal, dentaal, cutaan;;Yes;Manon den Uil;18/03/2024
COPOVIDON;COPOVIDON;Acetic acid ethenyl ester;"Film-forming agent; granulation aid; tablet binder.";Oraal;;Yes;Manon den Uil;18/03/2024
CURCUMINE;CURCUMINE;;Colouring agent, API;Oraal;;Yes;Manon den Uil;18/03/2024
CYCLAMAAT NATRIUM;CYCLAMATE SODIUM;;;;;Yes;Laura N;30/11/2023
CYCLOTETRASILOXAAN;CYCLOTETRASILOXANE;Metalloid compound;Emollient ;Oraal ;28%;Yes;Manon den Uil;18/03/2024
DECYLOLEAAT;DECYL OLEATE;Fatty acid ester ;Emollient ;Cutaan, rectaal, vaginaal;;Yes;Manon den Uil;18/03/2024
DIBUTYLFTALAAT;DIBUTYL PHTHALATE;Phthalate ester ;"Film-forming agent; plasticizer; solvent.";Oraal;Readily absorbed;No;Manon den Uil;18/03/2024
DIBUTYLSEBACAAT;DIBUTYL SEBACATE;Ester;Plasticizer;;;Yes;Manon den Uil;18/03/2024
DIETHYLFTALAAT;DIETHYL PHTHALATE;Phthalate ester ;"Film-forming agent; plasticizer; solvent.";Oraal ;Significantly absorbed;No;Manon den Uil;18/03/2024
DOCUSAAT NATRIUM;DOCUSATE SODIUM;Salt, Organosulfonic acid;"Anionic surfactant; fecal softener; wetting agent.";Cutaan, oraal, rectaal;90%;Yes;Manon den Uil;18/03/2024
DRUIVENESSENCE;GRAPE ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil;18/03/2024
ERYTROSINE;ERYTROSINE;Tetraiodofluorescein ;Colouring agent ;Oraal ;1%;Yes;Manon den Uil;19/03/2024
ESCULINE;ESCULINE;Glycosyl compound;Vasoprotective agent;Rectaal ;;Yes;Manon den Uil;18/03/2024
ETHANOL, GEDENATUREERD;ETHANOL, DENATURED;Alcohol;"Antimicrobial preservative; disinfectant; skin penetrant; solvent.";;;No;Manon den Uil;18/03/2024
ETHOXYETHANOL;2-ETHOXYETHANOL;Glycol ether;Solvent;Oraal;;No;Manon den Uil;19/03/2024
ETHYLCELLULOSE;ETHYL CELLULOSE;;;;;Yes;Laura N;30/11/2023
ETHYLEENGLYCOLMONOSTEARAAT;ETHYLENE GLYCOL MONOSTEARATE;Polyoxyethylene;"Emollient; emulsifying agent; stabilizing agent.";Cutaan, oraal;High after hydrolysis by GI enzymes;No;Manon den Uil;19/03/2024
ETHYLMALTOL;ETHYL MALTOL;Pyranone;"Flavor enhancer; flavoring agent.";Oraal;50;No;Manon den Uil;19/03/2024
ETHYLPARAHYDROXYBENZOAAT;ETHYL PARAHYDROXYBENZOATE;Paraben;Antimicrobial preservative.;Cutaan, oraal, rectaal;;No;Manon den Uil;19/03/2024
ETHYLPARAHYDROXYBENZOAAT NATRIUM;ETHYL PARAHYDROXYBENZOATE SODIUM;Paraben;Antimicrobial preservative.;Oraal, vaginaal;;No;Manon den Uil;19/03/2024
ETHYLVANILLINE;ETHYLVANILLIN;Benzalhydes;Flavouring agent;;;Yes;Manon den Uil;18/03/2024
FENETHYLALCOHOL;Phenylethyl alcohol;Alcohol ;Antimicrobial preservative;;;No;Manon den Uil;19/03/2024
FERRIOXIDE, BRUIN;FERRIC OXIDE, BROWN;Inorganic ;Colouring agent;;;Yes;Manon den Uil;18/03/2024
FERRIOXIDE, GEEL;FERRIC OXIDE, YELLOW;Inorganic ;Colouring agent;;;Yes;Manon den Uil;18/03/2024
FERRIOXIDE, KLEUR ONBEKEND;FERRIC OXIDE, COLOR UNKNOWN;Inorganic ;Colouring agent;;;Yes;Manon den Uil;18/03/2024
FERRIOXIDE, ROOD;FERRIC OXIDE, RED;Inorganic ;Colouring agent;;;Yes;Manon den Uil;18/03/2024
FERRIOXIDE, ROODBRUIN;FERRIC OXIDE, RED-BROWN;Inorganic ;Colouring agent;;;Yes;Manon den Uil;18/03/2024
FERRIOXIDE, ZWART;FERRIC OXIDE, BLACK;Inorganic ;Colouring agent ;;;Yes;Manon den Uil;18/03/2024
FRUITESSENCE;FRUIT ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil;18/03/2024
